SMILES,truth,predictions
CNCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CNCCCN1c2ccccc2CCc2cc(O)ccc21,NCCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,CNCCCN1c2ccc(O)cc2CCc2cc(O)ccc21,NCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21"
CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,"CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(O)ccc21,CN(C)CCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21,C[N+](C)([O-])CCCN1c2ccccc2CCc2cc(O)ccc21,CNCCCN1c2ccccc2CCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc21"
Nc1ccncc1N,CC(=O)Nc1cnccc1N,"Nc1ccncc1N,CC(=O)Nc1cnccc1N,CC(=O)Nc1ccncc1N,Nc1cnc(O)cc1N,CC(=O)Nc1cnc(O)cc1N"
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1","CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)C(O)C(O)C1O"
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,"CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O","C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O,C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O,C=CCC(CC(C)C)(C([NH])=O)C(=O)NC(=O)O"
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,"CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1cc2c(cc1O)CCc1ccccc1N2C(=O)CN(CC)CC,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccc(O)cc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CO)c1ccccc1CC2"
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS([O-])([O-])[O-])c2n1,"Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OC3OC(C(=O)O)C(O)C(O)C3O)c2n1,OCc1ccc2c(Cl)cc(Cl)c(O)c2n1,Cc1ccc2c(Cl)c(O)c(Cl)c(O)c2n1,Cc1ccc2c(Cl)cc(Cl)c(OS(=O)(=O)O)c2n1"
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,"O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(S(=O)(=O)O)CC3)c(F)cc2c1=O","O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)C1CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,O=C(O)CNC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1c(O)n(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O"
Cn1c(=O)c2c(ncn2C)n(C)c1=O,"Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O","Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O"
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"O=C(CO)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(O)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,Nc1ccc(C(O)C(N)CO)cc1,NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(COS(=O)(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(COC1OC(C(=O)O)C(O)C(O)C1O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1","O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(C(=O)O)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(=Cc1ccc([N+](=O)[O-])cc1)CO)C(Cl)Cl,Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(O)Cl"
